,ER,Avg.Correction,Max.Correction,Min.Correction,Avg.Advance,Max.Advance,Min.Advance,Avg.Recovery,Max.Recovery,Min.Recovery
47,48.0,-35.915519850122394,49.44512946979039,-74.14634146341463,47.162212828395674,261.60520607375275,-31.869515011547346,-8.209798780863453,88.61039708732355,-64.44444444444446
48,49.0,-39.901986665594855,-2.6404224675948016,-76.84294871794872,49.13254252312682,277.91932059447976,-31.630901287553655,-12.16722011187054,96.32352941176468,-82.45192307692308
49,50.0,-34.36065089572344,100.95238095238093,-76.85185185185186,61.630929454397766,656.2992125984252,-3.9429530201342335,2.3393895739583614,269.42307692307696,-58.45428156748912
50,51.0,-36.50199405824178,77.88461538461539,-71.56019656019657,47.535851656647154,277.58620689655174,-28.968749999999996,-7.842873510553887,217.3913043478261,-77.82439024390243
51,52.0,-37.31175878576877,9.205776173285194,-83.97129186602871,37.99600664059107,149.7674418604651,-14.870093974571581,-18.115550957646036,14.813717188823036,-73.08612440191388
52,53.0,-41.66375477988557,78.85714285714286,-68.62745098039215,46.93252362034919,222.58064516129028,-49.27884615384616,-19.11500937682283,34.24487259167185,-69.1068814055637
53,54.0,-41.07869550743488,67.61363636363637,-77.65432098765432,44.822925011044134,177.28813559322032,-32.63009845288327,-12.236126068436104,364.77272727272725,-71.72373081463991
54,55.0,-41.199175124395886,-3.7611408199643503,-85.85298196948682,44.22429664992338,228.32764505119454,-2.1442495126705716,-20.502789770230326,18.524292023902298,-64.07766990291262
55,56.0,-39.13587257444749,7.371225577264654,-67.19798657718121,48.443424515153524,174.89177489177484,-7.964601769911506,-13.297235977956117,77.58620689655174,-58.13758389261745
56,57.0,-40.920346317757875,157.93103448275863,-80.63326226012794,52.53669497890617,255.29753265602324,-43.01186178442496,-18.74929337495107,93.10344827586208,-75.47169811320755
57,58.0,-38.161242041605604,12.433140486846414,-74.10841654778888,34.37353706121307,83.34975369458127,-7.817811012916385,-18.399589183855138,56.11601513240859,-60.54852320675105
58,59.0,-38.48681689898157,103.07142857142857,-70.45751633986927,32.20408978044482,148.38709677419354,-69.30232558139535,-21.99564672107008,61.02380952380953,-78.45484221980412
59,60.0,-44.75654313195202,-1.8867924528301903,-80.27374360045972,52.85252827815676,230.19572687882862,-26.091954022988507,-18.285273216666837,58.490566037735846,-65.05434782608695
60,61.0,-42.19913133137706,-12.178619756427617,-72.39176721078779,42.21667507895417,112.20752797558497,-7.91946308724832,-19.50383008639287,40.842787682333864,-49.73432518597237
61,62.0,-43.957009807476666,-11.414392059553359,-78.46486486486486,44.20396317836642,123.31288343558285,-17.572124391157733,-21.099964449710686,26.943326107153926,-70.52972972972972
62,63.0,-46.41780679687493,4.070796460176982,-73.63815789473684,44.80577362837017,129.58532695374802,-43.4869739478958,-25.435403603685415,41.92389006342494,-64.52830188679246
63,64.0,-38.360122898116714,10.198300283286128,-73.55577689243029,44.45933216078596,148.210922787194,1.5481115707994082,-13.286155669466115,80.28571428571429,-46.475082479597155
64,65.0,-37.34406672958005,18.27284105131413,-89.0528233151184,40.06507635336634,104.45026178010471,-9.587020648967556,-14.626730275799241,50.187734668335416,-79.41712204007287
65,66.0,-41.01747035498244,109.77596741344195,-83.77999999999999,49.99107365290567,348.07692307692304,-0.8810572687224613,-15.516607646533508,194.9367088607595,-76.16333333333333
66,67.0,-43.072740308230976,-6.488549618320608,-74.96932515337423,32.314021925541354,101.6949152542373,-52.99145299145298,-24.51297446499005,35.496183206106856,-87.29792147806005
67,68.0,-39.65729670326572,-15.799004074241731,-68.37678721614802,34.18678420384493,87.94326241134752,-26.83544303797468,-20.53775700472413,34.994913530010166,-55.46995377503852
